# Accelerometer Data File
# Started @Tue Aug 01 23:16:22 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.239 0.221 9.768 21
0.227 0.259 9.761 20
0.201 0.254 9.763 20
0.167 0.235 9.775 20
0.172 0.266 9.761 20
0.199 0.271 9.758 20
0.148 0.247 9.761 20
0.108 0.276 9.746 21
0.129 0.271 9.768 20
0.16 0.257 9.773 20
0.139 0.257 9.768 20
0.091 0.276 9.77 20
0.079 0.259 9.758 20
0.105 0.242 9.763 20
0.139 0.252 9.751 21
0.12 0.254 9.756 20
0.081 0.257 9.765 20
0.067 0.24 9.775 20
0.098 0.249 9.761 20
0.12 0.268 9.765 20
0.103 0.257 9.756 20
0.033 0.249 9.78 21
0.007 0.268 9.761 20
0.067 0.252 9.761 20
0.079 0.228 9.758 20
-0.002 0.252 9.77 20
-0.045 0.268 9.773 20
-0.04 0.247 9.763 20
0.002 0.257 9.765 21
-0.071 0.278 9.773 20
-0.16 0.264 9.78 20
-0.167 0.261 9.758 20
-0.136 0.24 9.78 20
-0.138 0.245 9.765 20
-0.174 0.266 9.765 20
-0.193 0.259 9.78 21
-0.191 0.249 9.749 20
-0.174 0.264 9.749 20
-0.181 0.273 9.756 20
-0.181 0.261 9.751 20
-0.176 0.259 9.758 20
-0.167 0.237 9.775 20
-0.121 0.247 9.756 21
-0.073 0.237 9.742 20
-0.064 0.257 9.753 20
-0.049 0.268 9.773 20
-0.035 0.259 9.753 20
0.014 0.268 9.746 20
0.064 0.259 9.751 20
0.105 0.268 9.765 21
0.127 0.266 9.761 20
0.163 0.247 9.756 20
0.22 0.23 9.775 20
0.244 0.235 9.765 20
0.273 0.24 9.77 20
0.354 0.228 9.775 20
0.402 0.242 9.77 21
0.39 0.257 9.765 20
0.402 0.259 9.77 20
0.433 0.254 9.744 20
0.45 0.247 9.77 20
0.443 0.28 9.78 20
0.419 0.278 9.753 20
0.404 0.276 9.761 21
0.407 0.254 9.765 20
0.385 0.29 9.763 20
0.335 0.285 9.739 20
0.266 0.29 9.761 20
0.237 0.302 9.78 20
0.191 0.295 9.749 20
0.16 0.261 9.744 21
0.134 0.268 9.753 20
0.055 0.259 9.751 20
0.038 0.261 9.761 20
0.009 0.242 9.751 20
-0.052 0.225 9.753 20
-0.097 0.266 9.756 20
-0.131 0.257 9.753 21
-0.157 0.252 9.744 20
-0.179 0.249 9.753 20
-0.207 0.228 9.751 20
-0.224 0.235 9.761 20
-0.234 0.245 9.77 20
-0.231 0.223 9.763 20
-0.239 0.216 9.763 21
-0.272 0.225 9.761 20
-0.246 0.216 9.739 20
-0.186 0.211 9.756 20
-0.188 0.233 9.758 20
-0.222 0.245 9.77 20
-0.198 0.235 9.746 20
-0.148 0.249 9.763 21
-0.078 0.268 9.768 20
-0.071 0.268 9.763 20
-0.057 0.28 9.761 20
-0.016 0.261 9.758 20
0.029 0.273 9.746 20
0.086 0.259 9.753 20
0.132 0.276 9.777 21
0.143 0.261 9.765 20
0.175 0.29 9.753 20
0.225 0.276 9.756 20
0.27 0.266 9.763 20
0.287 0.276 9.773 20
0.275 0.264 9.761 20
0.29 0.254 9.761 21
0.369 0.254 9.761 20
0.376 0.278 9.751 20
0.323 0.264 9.765 20
0.313 0.247 9.78 20
0.325 0.259 9.761 20
