# Accelerometer Data File
# Started @Tue Aug 01 23:45:42 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.761 0.213 9.78 21
0.737 0.204 9.765 20
0.697 0.221 9.763 20
0.639 0.235 9.787 20
0.562 0.178 9.77 20
0.483 0.17 9.756 20
0.419 0.228 9.753 20
0.407 0.266 9.763 21
0.292 0.247 9.763 20
0.165 0.23 9.758 20
0.103 0.247 9.73 20
0.081 0.292 9.753 20
0.053 0.314 9.753 20
0.0 0.29 9.763 20
-0.023 0.249 9.753 21
-0.078 0.273 9.761 20
-0.093 0.285 9.77 20
-0.054 0.302 9.746 20
-0.049 0.29 9.765 20
-0.071 0.28 9.763 20
-0.088 0.271 9.751 20
-0.073 0.276 9.763 21
-0.061 0.278 9.761 20
-0.059 0.271 9.744 20
-0.081 0.225 9.761 20
-0.107 0.225 9.77 20
-0.14 0.225 9.761 20
-0.148 0.218 9.753 20
-0.174 0.24 9.761 21
-0.215 0.235 9.768 20
-0.253 0.209 9.775 20
-0.291 0.23 9.765 20
-0.277 0.254 9.763 20
-0.296 0.254 9.756 20
-0.296 0.211 9.787 20
-0.318 0.228 9.763 21
-0.361 0.254 9.775 20
-0.361 0.266 9.787 20
-0.368 0.273 9.768 20
-0.377 0.252 9.758 20
-0.406 0.24 9.751 20
-0.421 0.259 9.749 20
-0.394 0.278 9.749 21
-0.353 0.259 9.761 20
-0.327 0.249 9.737 20
-0.31 0.257 9.753 20
-0.267 0.264 9.739 20
