# Accelerometer Data File
# Started @Tue Aug 01 23:12:13 GMT+08:00 2017
#
#
# sensor Vendor: BOSCH
# sensor Name: LGE Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 78.4532; Min Delay: 2500 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:GAME
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.694 0.259 9.782 20
0.773 0.178 9.763 20
0.776 0.17 9.746 20
0.74 0.271 9.813 21
0.615 0.273 9.753 20
0.598 0.242 9.756 20
0.649 0.261 9.77 20
0.589 0.271 9.782 20
0.438 0.316 9.77 20
0.335 0.309 9.768 20
0.335 0.278 9.775 21
0.246 0.285 9.761 20
0.146 0.345 9.727 20
0.067 0.355 9.768 20
-0.076 0.245 9.765 20
-0.09 0.249 9.753 20
-0.124 0.338 9.753 21
-0.231 0.254 9.758 20
-0.274 0.187 9.753 20
-0.277 0.242 9.77 20
-0.298 0.24 9.765 20
-0.361 0.115 9.761 20
-0.425 0.144 9.758 20
-0.483 0.211 9.787 20
-0.495 0.163 9.773 21
-0.447 0.082 9.789 20
-0.44 0.11 9.77 20
-0.437 0.17 9.758 20
-0.404 0.127 9.756 20
-0.368 0.094 9.753 20
-0.351 0.168 9.777 21
-0.344 0.192 9.775 20
-0.231 0.149 9.761 20
-0.145 0.175 9.78 20
-0.119 0.235 9.763 20
-0.114 0.225 9.773 20
-0.061 0.223 9.756 20
0.091 0.288 9.765 20
0.184 0.312 9.749 21
0.22 0.264 9.756 20
0.234 0.261 9.749 20
0.316 0.304 9.77 20
0.431 0.292 9.768 20
0.527 0.316 9.734 20
0.546 0.321 9.773 20
0.5 0.254 9.787 21
0.51 0.283 9.749 20
0.637 0.328 9.775 20
0.689 0.242 9.761 20
0.632 0.225 9.777 20
0.567 0.28 9.777 20
0.57 0.249 9.785 20
0.62 0.182 9.768 21
0.606 0.168 9.765 20
0.57 0.173 9.758 20
0.462 0.163 9.782 20
0.412 0.137 9.782 20
0.39 0.158 9.768 20
0.347 0.137 9.744 20
0.299 0.11 9.768 21
0.196 0.12 9.751 20
0.093 0.163 9.765 20
0.036 0.158 9.775 20
0.026 0.154 9.758 20
-0.042 0.225 9.768 20
-0.131 0.213 9.785 20
-0.203 0.187 9.765 21
-0.203 0.252 9.742 20
-0.176 0.278 9.763 20
-0.236 0.24 9.753 20
-0.325 0.264 9.761 20
-0.294 0.295 9.768 20
-0.255 0.247 9.777 20
-0.332 0.245 9.756 21
-0.382 0.312 9.777 20
-0.389 0.302 9.78 20
-0.296 0.206 9.773 20
-0.231 0.221 9.765 20
-0.282 0.288 9.773 20
-0.318 0.24 9.763 20
-0.231 0.185 9.763 21
-0.138 0.252 9.765 20
-0.102 0.242 9.761 20
-0.133 0.182 9.746 20
-0.078 0.204 9.753 20
0.033 0.223 9.768 20
0.098 0.187 9.749 20
0.151 0.163 9.765 21
0.187 0.187 9.751 20
0.232 0.216 9.761 20
0.268 0.199 9.763 20
0.349 0.168 9.763 20
0.424 0.168 9.753 20
0.448 0.194 9.765 20
0.455 0.187 9.758 21
0.479 0.185 9.768 20
0.486 0.204 9.787 20
0.515 0.192 9.768 20
0.517 0.228 9.753 20
0.5 0.237 9.768 20
0.498 0.218 9.768 20
0.486 0.235 9.758 21
0.464 0.278 9.78 20
0.412 0.266 9.775 20
0.419 0.211 9.777 20
0.393 0.245 9.758 20
0.292 0.314 9.768 20
0.239 0.278 9.775 20
0.182 0.223 9.749 21
0.17 0.273 9.78 20
0.139 0.257 9.775 20
0.036 0.235 9.753 20
-0.021 0.249 9.768 20
-0.016 0.237 9.756 20
-0.076 0.199 9.751 20
-0.148 0.209 9.756 21
-0.15 0.221 9.78 20
-0.188 0.178 9.744 20
-0.2 0.194 9.758 20
-0.239 0.182 9.753 20
-0.246 0.158 9.77 20
-0.241 0.187 9.768 20
-0.274 0.199 9.763 21
